navn,kjønn,frekvens,stavelser,antall_stavelser,type
Birgitte,f,2651,,,personnavn
Birgitta,f,214,,,personnavn
Birk,m,2339,,,personnavn
Birning,m,0,,,personnavn
Birte,f,677,,,personnavn
Birting,m,0,,,personnavn
Birton,m,0,,,personnavn
Bitta,f,5,,,personnavn
Bitte,f,44,,,personnavn
Bitten,f,106,,,personnavn
Bjanca,f,0,,,personnavn
Bjanka,f,0,,,personnavn
Bjarke,m,36,,,personnavn
Bjarnar,m,8,,,personnavn
Bjarnard,m,0,,,personnavn
Bjarndis,f,0,,,personnavn
Bjarne,m,4017,,,personnavn
Bjarnhard,m,0,,,personnavn
Bjarnhild,f,69,,,personnavn
Bjarnulv,m,0,,,personnavn
Bjarny,f,0,,,personnavn
Bjart,m,38,,,personnavn
Bjarta,f,0,,,personnavn
Bjarte,m,2005,,,personnavn
Bjarthild,f,0,,,personnavn
Bjartmar,m,13,,,personnavn
Bjedne,m,0,,,personnavn
Bjermund,m,0,,,personnavn
Bjerne,m,0,,,personnavn
Bjerner,m,0,,,personnavn
Bjert,m,0,,,personnavn
Bjerte,m,0,,,personnavn
Bjor,m,10,,,personnavn
Bjug,m,10,,,personnavn
Bjødne,m,0,,,personnavn
Bjønne,m,0,,,personnavn
Bjønnal,m,0,,,personnavn
Bjørg,f,13137,,,personnavn
Bjørga,f,0,,,personnavn
Bjørgan,m,0,,,personnavn
Bjørge,m,226,,,personnavn
Bjørger,m,0,,,personnavn
Bjørgfrid,f,0,,,personnavn
Bjørgmund,m,0,,,personnavn
Bjørgny,f,8,,,personnavn
Bjørgo,m,0,,,personnavn
Bjørgulv,m,47,,,personnavn
Bjørgunn,f,61,,,personnavn
Bjørgvald,m,0,,,personnavn
Bjørgveig,f,0,,,personnavn
Bjørgvin,m,12,,,personnavn
Bjørk,f,105,,,personnavn
Bjørn,m,35682,,,personnavn
Bjørnar,m,4748,,,personnavn
Bjørnard,m,0,,,personnavn
Bjørne,m,36,,,personnavn
Bjørner,m,58,,,personnavn
Bjørnhild,f,118,,,personnavn
Bjørnstein,m,4,,,personnavn
Bjørnstjerne,m,4,,,personnavn
Bjørnulv,m,10,,,personnavn
Bjørnvald,m,7,,,personnavn
Bjøro,m,14,,,personnavn
Bjøru,m,0,,,personnavn
Bjørvin,m,4,,,personnavn
Blandina,f,5,,,personnavn
Blanka,f,91,,,personnavn
Blanseflor,f,0,,,personnavn
Blas,m,4,,,personnavn
Blenda,f,7,,,personnavn
Blostrup,m,0,,,personnavn
Bo,m,1066,,,personnavn
Boas,m,36,,,personnavn
Bob,m,63,,,personnavn
Bobby,m,52,,,personnavn
Bodhild,f,143,,,personnavn
Bodil,f,5031,,,personnavn
Bodvar,m,34,,,personnavn
Boel,f,26,,,personnavn
Bol,f,0,,,personnavn
Bol,m,6,,,personnavn
Boge,m,603,,,personnavn
Bogei,f,0,,,personnavn
Bogga,f,0,,,personnavn
Boggen,f,0,,,personnavn
Bogine,f,0,,,personnavn
Boldevin,m,0,,,personnavn
Bolette,f,18,,,personnavn
Bolfred,m,0,,,personnavn
Boline,f,0,,,personnavn
Bolivar,m,0,,,personnavn
Bolla,f,0,,,personnavn
Bolla,m,0,,,personnavn
Bolly,f,0,,,personnavn
Bolivard,m,0,,,personnavn
Bonde,m,0,,,personnavn
Bonnie,f,55,,,personnavn
Bonny,f,0,,,personnavn
Bonoria,f,0,,,personnavn
Bonsak,m,5,,,personnavn
Bordanna,f,0,,,personnavn
Bordina,f,0,,,personnavn
Bordinus,m,0,,,personnavn
Bordis,f,0,,,personnavn
Borg,m,9,,,personnavn
Borga,f,0,,,personnavn
Borgar,m,272,,,personnavn
Borgdis,f,0,,,personnavn
Borge,m,55,,,personnavn
Borgen,m,0,,,personnavn
Borger,m,52,,,personnavn
Borgfinn,m,5,,,personnavn
Borgfrid,f,23,,,personnavn
Borghild,f,1165,,,personnavn
Borghilda,f,0,,,personnavn
Borgine,f,0,,,personnavn
Borgny,f,755,,,personnavn
Borgrun,f,0,,,personnavn
Borgunn,f,7,,,personnavn
Borgvald,m,7,,,personnavn
Boris,m,230,,,personnavn
Bork,m,53,,,personnavn
Borni,f,0,,,personnavn
Bortinus,m,0,,,personnavn
Bothild,f,12,,,personnavn
Bothilda,f,0,,,personnavn
Botolv,m,5,,,personnavn
Botte,m,0,,,personnavn
Boye,m,163,,,personnavn
Boyine,f,0,,,personnavn
Brage,m,3678,,,personnavn
Bramine,f,0,,,personnavn
Brand,m,5,,,personnavn
Bratt,m,0,,,personnavn
Brede,m,1047,,,personnavn
Breder,m,0,,,personnavn
Bredine,f,0,,,personnavn
Bredo,m,46,,,personnavn
Bredor,m,0,,,personnavn
Bremer,m,0,,,personnavn
Brenda,f,126,,,personnavn
Bretanus,m,0,,,personnavn
Brettel,m,0,,,personnavn
Brettiva,f,0,,,personnavn
Brian,m,879,,,personnavn
Brigda,f,0,,,personnavn
Brigit,f,0,,,personnavn
Brigt,m,111,,,personnavn
Brit,f,5479,,,personnavn
Britt,f,7438,,,personnavn
Brita,f,1627,,,personnavn
Britanna,f,0,,,personnavn
Britannus,m,0,,,personnavn
Britannius,m,0,,,personnavn
Britta,f,179,,,personnavn
Brittel,m,0,,,personnavn
Brodd,m,0,,,personnavn
Bror,m,564,,,personnavn
Broder,m,4,,,personnavn
Brostrup,m,0,,,personnavn
Bruna,f,38,,,personnavn
Brunhild,f,0,,,personnavn
Bruno,m,402,,,personnavn
Bruse,m,12,,,personnavn
Bryan,m,132,,,personnavn
Bryndis,f,32,,,personnavn
Bryngjerd,f,0,,,personnavn
Brynhild,f,488,,,personnavn
Brynhilda,f,0,,,personnavn
Brynja,f,20,,,personnavn
Brynjar,m,694,,,personnavn
Brynje,m,6,,,personnavn
Brynjulv,m,92,,,personnavn
Brynla,f,0,,,personnavn
Brynning,m,0,,,personnavn
Brynold,m,0,,,personnavn
Brynvald,m,0,,,personnavn
Brytteva,f,0,,,personnavn
Brøde,m,0,,,personnavn
Brønla,f,0,,,personnavn
Brønte,m,0,,,personnavn
Bråd,m,0,,,personnavn
Bue,m,11,,,personnavn
Buttul,m,0,,,personnavn
Bygvad,m,0,,,personnavn
Bylov,m,0,,,personnavn
Byrge,m,12,,,personnavn
Bärbel,f,20,,,personnavn
Bærbel,f,0,,,personnavn
Bøgvald,m,0,,,personnavn
Bøla,f,0,,,personnavn
Bør,m,0,,,personnavn
Børe,m,8,,,personnavn
Børge,m,1767,,,personnavn
Børger,m,0,,,personnavn
Børgine,f,0,,,personnavn
Børil,f,0,,,personnavn
Børild,m,7,,,personnavn
Børje,m,68,,,personnavn
Børjer,m,0,,,personnavn
Børre,m,937,,,personnavn
Børrea,f,0,,,personnavn
Børt,m,28,,,personnavn
Børte,f,0,,,personnavn
Børu,f,0,,,personnavn
Børulv,f,0,,,personnavn
Børuv,f,0,,,personnavn
Børå,m,0,,,personnavn
Bøye,m,13,,,personnavn
Bøyine,f,0,,,personnavn
Bård,m,2718,,,personnavn
Bårdanna,f,0,,,personnavn
Bårdhild,f,0,,,personnavn
Bårdtinus,m,0,,,personnavn
Bårni,f,0,,,personnavn
Bårtinus,m,0,,,personnavn
Caius,m,5,,,personnavn
Cajus,m,0,,,personnavn
Cally,f,5,,,personnavn
Camilla,f,13767,,,personnavn
Camillo,m,12,,,personnavn
Carina,f,2568,,,personnavn
Carita,f,104,,,personnavn
Carlo,m,118,,,personnavn
Carly,f,31,,,personnavn
Carmen,f,982,,,personnavn
Carol,f,163,,,personnavn
Carola,f,87,,,personnavn
Carrie,f,14,,,personnavn
Cary,m,4,,,personnavn
Caspian,m,534,,,personnavn
Cato,m,2528,,,personnavn
Cecilie,f,8345,,,personnavn
Cedolf,m,0,,,personnavn
Cedor,m,0,,,personnavn
Cedrik,m,141,,,personnavn
Celine,f,3956,,,personnavn
Celius,m,13,,,personnavn
Cesar,m,127,,,personnavn
Charles,m,709,,,personnavn
Charlo,m,0,,,personnavn
Charlotte,f,6424,,,personnavn
Charly,m,14,,,personnavn
Chris,f,1820,,,personnavn
Christel,f,631,,,personnavn
Christer,m,2926,,,personnavn
Cindy,f,296,,,personnavn
Cis,f,0,,,personnavn
Cissy,f,0,,,personnavn
Claire,f,0,,,personnavn
Clare,f,38,,,personnavn
Clamer,m,0,,,personnavn
Clarence,m,16,,,personnavn
Clarin,m,0,,,personnavn
Clarissa,f,36,,,personnavn
Clary,f,8,,,personnavn
Clary,m,0,,,personnavn
Clive,m,32,,,personnavn
Claudi,m,32,,,personnavn
Claudia,f,677,,,personnavn
Claudius,m,6,,,personnavn
Colbanus,m,0,,,personnavn
Colin,m,662,,,personnavn
Concordia,f,0,,,personnavn
Connie,f,822,,,personnavn
Conny,f,118,,,personnavn
Cordelia,f,47,,,personnavn
Corinne,f,42,,,personnavn
Cynthia,f,182,,,personnavn
Cyprian,m,31,,,personnavn
Cyril,m,44,,,personnavn
Cæsar,m,0,,,personnavn
Cæsarine,f,0,,,personnavn
Dafin,m,0,,,personnavn
Dafine,f,0,,,personnavn
Dafne,f,6,,,personnavn
Dag,m,9501,,,personnavn
Daga,f,5,,,personnavn
Dagbart,m,0,,,personnavn
Dagbert,m,0,,,personnavn
Dagbjart,m,0,,,personnavn
Dagbjørg,f,10,,,personnavn
Dagbjørn,m,6,,,personnavn
Dagborg,f,0,,,personnavn
Dageid,f,0,,,personnavn
Dagen,f,0,,,personnavn
Dagfine,f,0,,,personnavn
Dagnfinn,m,0,,,personnavn
Dagfred,m,4,,,personnavn
Dagfrid,f,160,,,personnavn
Dagfrid,m,0,,,personnavn
Dagheid,f,11,,,personnavn
Daghild,f,39,,,personnavn
Dagmar,f,399,,,personnavn
Dagmund,m,17,,,personnavn
Dagna,f,0,,,personnavn
Dagnar,m,0,,,personnavn
Dagne,f,41,,,personnavn
Dagnhild,f,0,,,personnavn
Dagnor,m,0,,,personnavn
Dagny,f,1244,,,personnavn
Dagobert,m,0,,,personnavn
Dagrun,f,524,,,personnavn
Dagulv,m,0,,,personnavn
Dagrunn,f,136,,,personnavn
Dagvald,m,0,,,personnavn
Dagvard,m,0,,,personnavn
Dagveig,f,0,,,personnavn
Dagvid,m,0,,,personnavn
Dagvin,m,0,,,personnavn
Dagvor,f,0,,,personnavn
Daisy,f,135,,,personnavn
Dalila,f,281,,,personnavn
Daline,f,0,,,personnavn
Dalmar,m,11,,,personnavn
Dam,m,5,,,personnavn
Damanda,f,0,,,personnavn
Damandius,m,0,,,personnavn
Damaris,f,23,,,personnavn
Dammei,f,0,,,personnavn
Dan,m,2546,,,personnavn
Dana,f,298,,,personnavn
Dananda,f,0,,,personnavn
Danel,m,10,,,personnavn
Danela,f,0,,,personnavn
Danelen,f,0,,,personnavn
Danelius,m,0,,,personnavn
Danelken,f,0,,,personnavn
Danilken,f,0,,,personnavn
Danhild,f,0,,,personnavn
Danhilda,f,0,,,personnavn
Dania,f,156,,,personnavn
Daniel,m,19811,,,personnavn
Daniela,f,825,,,personnavn
Danilla,f,0,,,personnavn
Danilken,f,0,,,personnavn
Dankert,m,16,,,personnavn
Danna,f,16,,,personnavn
Danny,f,0,,,personnavn
Danny,m,248,,,personnavn
Danuta,f,251,,,personnavn
Daphne,f,44,,,personnavn
Darius,m,668,,,personnavn
Darvin,m,12,,,personnavn
David,m,7769,,,personnavn
Davida,f,7,,,personnavn
Davine,f,0,,,personnavn
Davy,m,29,,,personnavn
Dea,f,115,,,personnavn
Debora,f,130,,,personnavn
Decimus,m,0,,,personnavn
Dehard,m,0,,,personnavn
Delia,f,90,,,personnavn
Delila,f,11,,,personnavn
Delilah,f,9,,,personnavn
Delise,f,0,,,personnavn
Demanda,f,0,,,personnavn
Demandius,m,0,,,personnavn
Demetri,m,0,,,personnavn
Dena,f,14,,,personnavn
Denis,m,554,,,personnavn
Denise,f,223,,,personnavn
Dennis,m,3118,,,personnavn
Deodata,f,0,,,personnavn
Deodor,m,0,,,personnavn
Deodora,f,0,,,personnavn
Deoline,f,0,,,personnavn
Deonora,f,0,,,personnavn
Derek,m,87,,,personnavn
Desideria,f,0,,,personnavn
Desiderius,m,0,,,personnavn
Desine,f,0,,,personnavn
Desirée,f,135,,,personnavn
Desta,f,14,,,personnavn
Desta,m,4,,,personnavn
Detlef,m,30,,,personnavn
Detlev,m,5,,,personnavn
Devi,m,4,,,personnavn
Devi,f,26,,,personnavn
Dia,f,44,,,personnavn
Diana,f,2139,,,personnavn
Diddi,f,7,,,personnavn
Didi,f,11,,,personnavn
Didrik,m,1551,,,personnavn
Didrikke,f,0,,,personnavn
Diffen,m,0,,,personnavn
Diis,f,7,,,personnavn
Dik,f,0,,,personnavn
Dikka,f,5,,,personnavn
Dikke,f,0,,,personnavn
Dikken,f,0,,,personnavn
Dikken,m,0,,,personnavn
Diktine,f,0,,,personnavn
Dilmar,m,0,,,personnavn
Dina,f,2493,,,personnavn
Dines,m,0,,,personnavn
Dino,m,184,,,personnavn
Dinus,m,0,,,personnavn
Dion,m,109,,,personnavn
Dionora,f,0,,,personnavn
Dionysius,m,0,,,personnavn
Dirk,m,170,,,personnavn
Dis,f,8,,,personnavn
Disa,f,19,,,personnavn
Diss,m,0,,,personnavn
Ditlev,m,23,,,personnavn
Ditlevine,f,0,,,personnavn
Ditmann,m,0,,,personnavn
Ditmar,m,0,,,personnavn
Ditmarine,f,0,,,personnavn
Ditte,f,31,,,personnavn
Divart,m,0,,,personnavn
Divert,f,0,,,personnavn
Dobberdine,f,0,,,personnavn
Doffen,m,0,,,personnavn
Dolf,m,0,,,personnavn
Dolly,f,20,,,personnavn
Dolores,f,43,,,personnavn
Domel,f,0,,,personnavn
Domhild,f,0,,,personnavn
Domhilda,f,0,,,personnavn
Dominikus,m,0,,,personnavn
Donald,m,70,,,personnavn
Donata,f,72,,,personnavn
Donato,m,7,,,personnavn
Donatus,m,0,,,personnavn
Donna,f,91,,,personnavn
Dora,f,21,,,personnavn
Doran,m,0,,,personnavn
Dordei,f,0,,,personnavn
Dordi,f,168,,,personnavn
Dårdi,f,5,,,personnavn
Dordis,f,0,,,personnavn
Dore,m,0,,,personnavn
Doreen,f,80,,,personnavn
Doret,f,0,,,personnavn
Dorit,f,50,,,personnavn
Dåret,f,0,,,personnavn
Dorete,f,0,,,personnavn
Doreus,m,0,,,personnavn
Dorfinn,m,0,,,personnavn
Doris,f,423,,,personnavn
Dorit,f,50,,,personnavn
Dorius,m,0,,,personnavn
Dormod,m,0,,,personnavn
Doro,f,0,,,personnavn
Dorotea,f,25,,,personnavn
Doroteus,m,0,,,personnavn
Dorrit,f,32,,,personnavn
Dorte,f,151,,,personnavn
Dortea,f,26,,,personnavn
Dorteas,m,0,,,personnavn
Dortenus,m,0,,,personnavn
Dorteus,m,0,,,personnavn
Dortia,f,0,,,personnavn
Dortin,m,0,,,personnavn
Dortine,f,0,,,personnavn
Dortinus,m,0,,,personnavn
Dorvald,m,0,,,personnavn
Dorvild,m,0,,,personnavn
Dotta,f,0,,,personnavn
Douglas,m,97,,,personnavn
Dovra,f,0,,,personnavn
Dovre,m,9,,,personnavn
Dreier,m,0,,,personnavn
Dreng,m,24,,,personnavn
Drengmann,m,0,,,personnavn
Drude,f,0,,,personnavn
Duarte,m,15,,,personnavn
Duddu,f,0,,,personnavn
Dudu,f,11,,,personnavn
Durdei,f,0,,,personnavn
Dyre,m,37,,,personnavn
Dyvart,m,0,,,personnavn
Dyveke,f,109,,,personnavn
Dønet,f,0,,,personnavn
Dønåt,f,0,,,personnavn
Dønnes,m,0,,,personnavn
Dårdi,f,5,,,personnavn
Dåret,f,0,,,personnavn
